@relation C__Users_sky_Dropbox_FAU_Summer2016_Homework3_spam

@attribute text string
@attribute @@class@@ {Normal,Spam}

@data
'Software FX - Boca Raton, FL\r\n\r\n\r\nSoftware Engineer for Support and Test\r\n---------------------------------------\r\n\r\nSoftware FX, Inc. was founded in September of 1993 as a component \r\nvendor for the emerging visual development community, which capitalizes \r\non the increasing demand for reusable objects. \r\nAt Software FX, quality customer service and highly useful products \r\nare our main goals. By providing top-of-the-line components for \r\ndifferent development environments, we continue to lead the market in \r\ndeploying graphic development tools to the expanding development community.\r\n\r\nThe responsibilities consist basically in providing asisitance in the use of the \r\nChartFX component to a very techincal customer base. Additionally, the Support Specialist \r\nwill be constantly involved in internal activies such as testing, evaluation of new platforms \r\nand technologies and developemtn of internal applications.  \r\n\r\n\r\nREQUIREMENTS:\r\n----------------\r\n\r\n\r\nWe are looking for an entry-level software engineer (CS or CE majors) with understanding of OO design and programming concepts.\r\nCandidate should also be familiar with Visual Studio, the .Net framework and/or Java.\r\nThis is a great opportunity geared towards Software Engineering.\r\nMust have great communication skills and be willing to learn new technologies and platforms.\r\n\r\nThe salary is $38k-45k/year based on previous experience.\r\n\r\n\r\nIf you are interested, please send your resume to:\r\n\r\nTomas Tezak\r\nManager - SoftwareFX Support\r\nbadd06\r\n',Spam
'Dear All,\r\n\r\n \r\n\r\nWe plan to go to Top Chinese Buffet in Deerfield Beach on Saturday 2/24/ 2007 at noon for lunch.  You may also bring your family there, though we may need to pay a little from our own pocket (Chinese Consulate of Houston donated $300).  \r\n\r\n \r\n\r\nIn the gathering, we plan to form FAU Chinese Teachers’ Association, and elect a president.\r\n\r\n \r\n\r\nIf you have not responded, please let us know if you are coming and how many of you will come by replying the message to zhuang@fau.edu or wxu@fau.edu.\r\n\r\n \r\n\r\nWish everyone have a joyful and productive new year!\r\n\r\n \r\n\r\n \r\n\r\n',Normal
'Dear friend, \r\n\r\nI am Mr. Peter Brown, C.E.O./Founder of Traders Group Limited, London, United\r\nKingdom. We are a general trading company dealing in the \r\nimportation and exportation of general goods, including textile, raw materials\r\n\r\nand technology communication equipment. \r\n\r\nWe are presently processing recruiting agents from America, Asia and \r\nother parts of Europe, whose functions would be primarily assisting us \r\nreceive and disburse payments. So, if successfully selected, your role \r\nwill be that of a payment agent, you shall handle cash payments on our \r\nbehalf. A 7\% commission based on all financial transaction you handled \r\nfor us Shall be yours. This will be reviewed and updated based on your \r\nwork efficiency. \r\nKindly send below details for consideration, if you are interested in \r\nthis Special offer. \r\n\r\n(1) Your full names\r\n(2) Contact Address\r\n(3) Phone/fax numbers\r\n(4) Your present occupation\r\n(5) Age\r\nWe look forward to a mutually beneficial business relationship with \r\nyou. \r\n\r\nVery respectfully, \r\nMr. Peter Brown.\r\nC.E.O./Founder\r\nTraders Group Limited, London.',Spam
'Dear XINGQUAN ZHU,\r\n\r\nDecember 31, 2006 was the deadline to renew your IEEE Membership or Society Affiliation for 2007.  To date, we have not received your renewal. To prevent any interruption in service, act today and renew on-line with your IEEE Web Account at <http://www.ieee.org/renew>.\r\n\r\nIf you do not renew by February 23rd, your benefits* will be deactivated.  These may include the following:\r\n\r\n* Subscription to IEEE Spectrum or other IEEE publications\r\n* Discounts on IEEE conferences and products\r\n* Access to myIEEE \r\n* IEEE personal email alias\r\n* The IEEE Job Site\r\n* Access to members-only programming in IEEE.tv \r\n* IEEE personal email alias\r\n* Life Insurance\r\n\r\nIf you have any questions or require assistance, please contact us at <http:/www.ieee.org/memberservices>.   Be sure to include your IEEE member or affiliate number on all correspondence.\r\n\r\nWe look forward to serving you for many more years to come.\r\n\r\nWith Regards,\r\nIEEE Member Services\r\n\r\n\r\nPS - If you have already renewed your membership, please disregard this notice.\r\n\r\n*IEEE benefits vary by grade and affiliation.\r\n',Normal
'Spam detection software, running on the system \"smtpsmart1.fe.aruba.it\", has\r\nidentified this incoming email as possible spam.  The original message\r\nhas been attached to this so you can view it (if it isn\'t spam) or label\r\nsimilar future email.  If you have any questions, see\r\nhttp://vademecum.aruba.it/start/mail/antispam/ for details.\r\n',Spam
'Dear  Xingquan (Hill) Zhu, \r\n\r\nWe would like to welcome you to the program committee of The 2007 International Conference on Data Mining (DMIN\'07). \r\n\r\nPlease log in to our conference management system http://dmin07.confmaster.net/ and complete your registration by providing your details and your areas of interest for the reviews within the next 7 days (you will be able to change login and password after the first login).\r\nIf you have any questions, please contact the DMIN\'07 Conference Staff at programme-chair@dmin-2007.com.\r\n\r\nPlease feel free to recommend further members to serve as reviewers. You may do so by using the conference management system under \'Reviewer Management\'. Click on \'Add\' in the top right corner and enter the email addresses. This way you will be able to suggest new reviewers and reassign papers assigned to you to external experts and members of your team. If you wish to nominate additional members for the DMIN\'07 programme committee please contact the conference chair directly. The final acceptance and nomination email for reviewers will be sent out by the Programme Chairs.\r\n\r\nAlso, please take an active role in promoting the conference. The ASCII Call for Papers may be found on the conference website. We thank you in advance for your time and support and for helping to make DMIN\'07 a successful conference. More importantly, we look forward to your own paper submissions and seeing you in Las Vegas! \r\n\r\nBest regards, \r\n\r\nThe DMIN\'07 Programme Chairs \r\nRobert Stahlbock, Sven F. Crone, Stefan Lessmann\r\n',Normal
'Introducing Human Growth Hormone, the most incredible wonderdrug to come out of the medical research establishment in a decade, and a substance used by the socio-economic elites of the world for years. However.. the actors and actresses and politicians and extremely wealthy of all walks of life that have been making use of it for so long to shed pounds and wrinkles and look and feel younger and fitter and healthier have had to pay thousands of dollars for each dose, and put up with painful injections. No longer! Medical technology has advanced so far as to allow users to take a simple pill each day and attain the same effects that once required very large amounts of money, time, and patience (not to mention pain tolerance!).\r\n\r\nShed pounds, increase lean muscle mass, reduce wrinkles and all signs of aging, improve your mood and reduce or eliminate signs or symptoms of depression, dramatically boost your energy levels and physical stamina, boost your memory and brain function, help eliminiate stress, fatigue and depression, and so much more. How can one product do all of this? It\\\'s simple, actually.. our produces produce Human Growth Hormone naturally, all throughout our lives. The only problem is that over time our bodies begin to produce less and less, which is one of the main causes of aging (and all signs of aging), sickness, wrinkles and cellulite and loss of energy, mental function, sex drive/function, decreased metabolism and even depression and poor quality sleep.\r\n\r\nThis medical marvel can help cure or eliminate ALL of those woes, as soon as a week or two after you begin usage, and is like a shot of youth that can allow you to turn back the clock in many extremely meaningful ways.',Spam
'All,\r\n\r\n I will be out of the office Feb 14th due to Jury Duty.  Pending the results of this I may be returning to work on the 15th (however this of course is out of my control)\r\n\r\n \r\n\r\nAlso I will again be out of the office for an extended time beginning Feb 21 with yet another hernia surgery (just for the record no I don’t enjoy this at all)   \r\n\r\nI hope to return to the office March 12th \r\n\r\n \r\n\r\nDuring my absence Scott will be in 36 full time and can be reached by sending an email to help@help.eng.fau.edu or calling 7-2801\r\n\r\n \r\n\r\nJames Mauser\r\n\r\nComputer Coordinator \r\n\r\nCollege of Engineering and Computer Science\r\n\r\nFlorida Atlantic University\r\n\r\n561-239-2546\r\n\r\n',Normal
'Dear customers and friends of DS Team,\r\nPlease let us represent our new special offer you can\'t afford to miss. The most comprehensive edition of Windows Vista, Vista Ultimate Upgrade (DVD-ROM) is the first operating system that combines all of the advanced infrastructure features of a business-focused operating system, all of the management and efficiency features of a mobility-focused operating system, and all of the digital entertainment features of a consumer-focused operating system. For the person who wants one operating system that is great for working from home, working on the road, and for entertainment, Vista Ultimate is a no-compromise operating system that lets you have it all. Windows Vista Ultimate contains a number of new features, the most notable of which are: Windows Vista Ultimate combines all the features of a business-focused operating system, all the efficiency features of a mobility-focused operating system, and all of the digital entertainment features of a consumer-focused operating system!\r\n ; Remotely connect to business networks; Windows BitLocker Drive Encryption provides improved levels of protection against theft for your important business data whether you are at home, on the road, or in the office; Delivers all of the entertainment features available in Vista Home Premium; includes everything you need to enjoy the latest in digital photography, music, movies, analog TV, or even HDTV; Upgrade from your current edition of Microsoft Windows XP or Windows 2000 (including Windows XP Professional, Windows XP Home, Windows XP Media Center, Windows XP Tablet PC, Windows XP Professional x64, Windows 2000)\r\nWindows Vista Ultimate Upgrade (DVD-ROM)\r\nRetail Price $399.00\r\nOur Price $79.95\r\nYou save $319.05\r\n',Spam
'Dear Hill,\r\n\r\nI was wondering if I get a copy of the book \r\n\r\nXingquan Zhu and Ian Davidson, Knowledge Discovery and Data Mining: Challenges and Realities with Real World Data, IDEA Group Inc. Publisher\r\n\r\nfrom the publisher. I never received any notification nor any other information.\r\n\r\nKind regards, Petra',Normal
'Hello Dear ,\r\n\r\nPlease excuse me if i have infringe into your privacy. I am madam Villaran \r\nNenita, a Filippino by nationality, widow to the late former minister of \r\nfinance in Philippine who died on 15th of May 2005. I inherited a total sum \r\nof $12.Million American dollars from my late husband, the money was \r\nconcealed in a metallic trunk box and was deposited with a security and \r\nfinance company in Abidjan Cote D?Ivoire, that was because I needed a \r\nmaximum security/safety of my consignment and no body nor government \r\norganization can trace the where about of the money until I am ready and \r\nprepare to claim it.\r\n\r\nBut the Secuerity company didn\'t know the real content of the box, because \r\nit was deposited as a family valuables. My main purpose of sending you this \r\nmail is because of the way I found you and perhaps trustworthy to give you \r\nthis priority of shipping the box of money to any address that you think is \r\nvery secure and save in yourcountry for onward lodgement to  your account \r\nfor the purpose of future investment with your percentage of which we shall \r\nchat on soon.\r\n\r\nI will send you the Authorization Certificate to call them in my next mail \r\nwhich is the Certificate of the  deposit that they gave me on the very day \r\nwhen the box of money was deposited under their company.  I give thanks \r\nimmensely for your co-operation as I look forward to hear from you soon.\r\n\r\nplease contact me from this my private box ',Spam
'Dear Dr. Xingquan Zhu,\r\n\r\nThank you very much for being the member of the International Program Committee for CI 2007. Your valued reviews will help us in organizing a successful and high quality conference.  **Please ignore this email if you have already submitted all your reviews or informed us that you are not able to review a specific paper.**\r\n\r\nWe kindly request you to review the remaining 1 paper(s) soon if you have not yet reviewed them, and submit the reviews at your earliest convenience. We would really appreciate if you could review your assigned papers by February 16, 2006.\r\n\r\nPlease login online using the username and password we sent you in the previous email at:\r\nYour review assignment can be found on your review page and the review forms are to be completed online following the hyperlink on top of your review page. \r\n\r\nIf you have trouble accessing papers or completing review forms, please email us ASAP at review@iasted.org.\r\n\r\nThank you for all of your assistance!\r\n\r\nKind regards,\r\n\r\nBrandon Hisey\r\nConference Planner\r\n\r\nIASTED \r\n',Normal
'World leading manufacturers. The most popular software.\r\nMS Windows XP Professional with SP2 - $49.95 \r\nAdobe Photoshop CS2 V 9.0 - $69.95 \r\nMicrosoft Office XP Professional - $49.95 \r\nAdobe Acrobat 5.0 - $39.95 \r\n.................................. \r\nMore then 300 items... \r\nLow price. Best choice. Visit our Website.\r\n',Spam
'Dear Dr. Zhu,\r\n\r\nThank you for your reply and for agreeing to review \"Interactive Information Retrieval\".  Please find attached the draft of the manuscript, as well as a copy of the evaluation form that we request you use to perform your review.  As we are relying on our reviewers to provide us with their expert opinions and to provide the author(s) with the best suggestions, please ensure that you answer the questions as completely and detailed as possible after reading the manuscript in its entirety. \r\n \r\nI\'ll look forward to receiving your detailed assessment of this manuscript by no later than March 23, 2007.  Thank you.  As a member of IGI\'s Editorial Advisory Review Board, you will receive a $100 honorarium for the completed review.\r\n\r\nThank you, again, for accepting our invitation to review this book. I look forward to receiving your detailed comments! If you have any questions, do not hesitate to contact me. \r\n\r\nPlease kindly confirm that you\'ve successfully received the attached documents. Thank you.\r\n\r\nBest regards,\r\n \r\nRoss\r\n',Normal
'Dear Suncorp Internet Banking user,\r\n  \r\nAt Suncorp Bank, we take security very seriously. As many customers \r\nalready know, Microsoft Internet Explorer has significant \'holes\' or \r\nvulnerabilities that virus craetors can easily take advantage of. \r\n  \r\n\r\n\r\nAt Suncorp Bank, we maintain your personal information and data \r\naccording to strict standards of security and confidentiality as described in \r\nthe Terms and Conditions that govern your use of tihs site. \r\nOnline access to your account portfolio is only possible through a \r\nsecure web browser. \r\n  \r\nIn order to further protect your account, w ehave introduced some new \r\nimportant security standards and browser requirements. Suncorp Bank \r\nsecurity systems require that your computer system is compatible with our \r\nnew standards. \r\n  \r\nThis security update will be effective immediately. Please sign on to \r\nSuncorp Internet Banking at http://www.internetbanking-sunc.com/ in \r\norder to verify securiyt update installation. Failure to do so may result \r\nin your account being compromised. \r\n  \r\n\r\n\r\nSincerely,\r\nThe Suncorp Security Department Team.  \r\n',Spam
'The Graduate Grants Committee (GGC) is seeking volunteers to serve as \r\ncommittee members for the Spring 2007 semester.\r\n\r\nThe graduate grants committee awards partial or full travel or research \r\ngrants to eligible graduate students who attend or present at academic \r\nconferences and/or do research for their academic endeavors.\r\n\r\nAs a committee member you will work in partnership with the other \r\nmembers to:\r\n\r\n? Determine the eligibility of graduate students seeking grants, \r\naccording to the GGC requirements.\r\n? Determine the monetary amount of funding students will receive.\r\n? Advocate for the advancement of graduate and professional students.\r\n? Promote the services offered by the GGC.\r\n\r\nHow will serving the GGC benefit you? \r\n\r\n? Provide you with a $200 Scholarship\r\n? Improve your communication and decision-making skills.\r\n? Teach you team building skills\r\n? Allow you be a part of student life by meeting new people and \r\ninterfacing with student government and faculty members.\r\n? Offer valuable professional experience to add to your resume. \r\n\r\nThe graduate grants committee meets twice per month to review grant \r\napplications. The meetings will be held from 11:00 a.m. - 12:30 p.m. on \r\nthe First Thursday and Third Thursday of each month in the Royal Palm \r\nRoom of the University Center.  LUNCH WILL BE SERVED!!!\r\n\r\nThe first meeting will be Thursday, February 1, 2007 from 11:00 a.m. - \r\n1:30 p.m.\r\n\r\nIf you desire to serve on this dynamic committee, please contact:\r\n\r\nManira Rani - (561) 297-1169, or drop by the GGC office located in the \r\nUniversity Center, Room 221.\r\n\r\nYou can also send an email to ggc@fau.edu.\r\n\r\nFor more information about the Graduate Grants Committee, please visit \r\nour website at:\r\n\r\nhttp://graduate.fau.edu/ggc\r\n',Normal
'News Alert!\r\n\r\nFueled by the possibility of an upcoming merger, Wild Brush \r\nEnergy (WBRS) is gearing up for an explosion.  Tension is \r\nbuilding and soon the scramble to take a position will push \r\nthis one off the charts.\r\n\r\nWild Brush Energy\r\nSymbol: WBRS\r\nCurrent Price: $0.05\r\nShort Term Target: $0.32\r\nLong Term Target: $0.80\r\n\r\nWBRS is engaged in some of the most lucrative gas regions in North \r\nAmerica.  Major discoveries are happening all the time and WBRS is in \r\nthe thick of it.\r\n\r\nWith the array of drilling projects Wild Brush has going on at the moment \r\ntension is building.  As the drilling gets closer to completion insiders are \r\naccumulating ahead of that major discovery announcement.\r\n\r\nFinally the market is ready for explosion\r\nWednesday December 13 2006. will be a huge growth of WBRS at 1.00 am\r\nGet ready to make some cash today!',Spam
'IRM has confirmed that early this morning, at about 7am, the FAU mail server was having some maintenance performed, and was not accepting mail for a short period of time.  If you tried sending mail at this time, you may have received errors.  If so, you will need to resend your mail.\r\n\r\n \r\n\r\n \r\n\r\nScott Ridenour\r\n\r\nTSG, College of Engineering\r\n\r\nx7-2801\r\n\r\nridenour@fau.edu\r\n\r\n',Normal
'Hello,\r\nRefinance NOW while rates are still low. You could save Hundreds per month!!\r\nDid you know the average savings is up to $200 per month? We have our loan officers standing by to refinance and get you a rate as low as 3 \% Stop wasting mo ne\'y, we have access to over 15,000 lenders in your state.\r\nBa-d cred. it? Doesn\'t matter, low rates are fixed no matter what! To get a free, no obli,gation consul tation -> below:\r\n',Spam
'Dear colleagues,\r\n\r\nI am very happy to inform you that two our faculty received the GAP \r\nawards ($15,000) from FAU Research Corporation:\r\n\r\nDr. Ravi Shankar for his project \"Mobile Architecture with a Highly \r\nScalable Multiplier\" and\r\nDr. Hari Kalva for the project \"Development of MPEG-2 to H.264 Video \r\nTranscoder Using IPP\"\r\n\r\nThe GAP program is a new program, which funds projects that have a great \r\npotential for commercialization. I was a member of the GAP Committee \r\nconsisting 5 FAU faculty and 5 industry representatives who carefully \r\nevaluated and selectd the winners. This semester, there were 4 proposals \r\nsubmitted, 2 from our Department, 1 from College of Science, and 1 from \r\nthe new College of Biomedical Science. The Committee unanimously \r\nselected only 2 projects from our Department to be funded. \r\nCongratulations to Ravi and Hari for this great success! I was very \r\npleased and proud as a member of the Committee.\r\n\r\nIn Fall 2007, we expect two additional awards to be given. I would like \r\nto strongly encourage you to submit your proposals.\r\n\r\nBorko\r\n\r\n',Normal
'Stable Company! \r\n\r\nFueled by the possibility of an upcoming merger, Wild Brush \r\nEnergy (WBRS) is gearing up for an explosion.  Tension is \r\nbuilding and soon the scramble to take a position will push \r\nthis one off the charts. \r\n\r\nWild Brush Energy \r\nSymbol: WBRS \r\nCurrent Price: $0.052 \r\nShort Term Target: $0.32 \r\nLong Term Target: $0.80 \r\n\r\nWBRS is engaged in some of the most lucrative gas regions in North \r\nAmerica.  Major discoveries are happening all the time and WBRS is in \r\nthe thick of it. \r\n\r\nWith the array of drilling projects Wild Brush has going on at the moment \r\ntension is building.  As the drilling gets closer to completion insiders are \r\naccumulating ahead of that major discovery announcement. \r\n',Spam
'Dear Professor Xingquan(Hill) Zhu,\r\n\r\nRespected Sir,\r\n                      I would like to thank you for considering my application for the post of Summer Internship in your lab this Summer. I do require financial support for this internship since being a student it is very difficult for me to support this internship all by myself. Even a little financial support would be of sufficient and great help. You have my resume with you and you can see that I have a good expertise in the fields of Image Processing, Signal Processing and VLSI circuits and implementations. This internship really means very much to me and would be of immense value in my pursuit for doctoral studies and my future endeavours. I request you to look for other viable and certain options for the funding that would be required for it.\r\n                     I am waiting for your reply and I do hope for a favourable reply from your side. Please do try to reply as soon as possible from your side. \r\n',Normal
'hey..\r\n\r\nDid you know that As of just a few months ago you can get a legal, legitimate, accredited degree from an online university solely based on your life experience?\r\n\r\nIn just two short weeks, you can entirely change your life! Recent Studies substantiate quite clearly that persons with college degrees are handed better jobs, earn much higher incomes, and even live more enjoyable lives than persons without degrees. One quick phone call for more information can imp=\r\nrove your life dramatically, and help you create the life and lifestyle you deserve. No classes or exams required, and we offer a wide variety of degrees, including Associates, Bachelors and Masters and many more, in a wide variety of fields.\r\n\r\nSimply give our automated system a call, and be sure to leave your full name and phone number spoken clearly and distinctly after the tone -  1(270)837 3127\r\navailable for your call 24/7, every day including holidays and sundays\r\n',Spam
'If you are receiving this message, it is because, according to my records, you have not previously attended one of the Customer Services Classes offered by our College.  If you have attended a class, you don’t need to read further, and you may discard this e-mail.  Everyone else, please continue.\r\n\r\n \r\n\r\nIt was the Dean’s choice to not make these classes mandatory.  However, he was very hopeful that the majority of COE&CS employees would choose to participate.  \r\n\r\n \r\n\r\nIf it was your decision to not go because you don’t need to learn anything new about customer service, then you may be someone who has much to offer others about customer service.  The exchange of ideas is one of the highlights of the classes.\r\n\r\n \r\n\r\nThe dates, times, and locations for the February classes are as follows:\r\n\r\n \r\n\r\nThursday, February 15, 8:30 – 11:30 a.m., Boca Campus, Board of Trustees Room, ADM 305\r\n\r\nFriday, February 16, 1:00  – 4:00 p.m., SeaTech, Auditorium\r\n\r\n \r\n\r\nA light breakfast of breads, fruits, juices and coffee will be served at the Boca class.  Cookies, fruits, sodas, and coffee will be served at the SeaTech class.\r\n\r\n \r\n\r\nPlease click on the link below to complete the registration form for one of the classes.  Return your completed form by e-mail to Colleen Glazer (glazer@fau.edu), or by fax to X7-1111.\r\n\r\n',Normal
'Obtain your diploma, bachelors\\\' or Masters\\\' in 2 weeks time from\r\nprestigious universities based on your present knowledge and life experience.\r\n\r\nNo tests, exams or classes require.\r\n\r\nCall us now to receive yours today!\r\n\r\n 1-270-837-3127 (be sure to clearly speak your name and phone number so that we can return your call)\r\n\r\nConfidentiality Assured\r\n',Spam
'Dear CSE students,\r\n\r\nThere will be the Career Day tomorrow, Tuesday, February 6 from 10 AM - \r\n3 PM in the gym. Please, see the attached announcement on Raytheon. This \r\nis a great opportunity to meet potential employers and get a dream job!\r\n\r\nGood luck!\r\n\r\nBorko Furht\r\n\r\nMahesh, Please forward this email to all CSE students. Thanks.\r\n\r\n-- \r\nBorko Furht, Ph.D.\r\nChairman & Professor\r\nSenior Assistant Vice President for Engineering & Technology\r\nDepartment of Computer Science and Engineering\r\nFlorida Atlantic University\r\n777 Glades Road\r\nBoca Raton, Florida 33431\r\n',Normal
'T0P 1O TITLES 0N S@LE N0W!\r\n\r\nMICR0S0FT VlSTA ULTIMATE $79 \r\nMICR0S0FT 0ffice 2OO7    $79 \r\nAD0BE ACR0BAT 8 PR0 $79 \r\nWIND0WS XP PR0 +SP2 $49 \r\nAD0BE PREMlERE 2.O $59 \r\nMACR0MEDIA STUDI0 8 $99 \r\nQUICKB00KS 2OO6 Premier  $69 \r\nAUT0DESK AUT0CAD 2OO7 $129 \r\nC0REL GRAFIX SUITE X3 $59 \r\nAD0BE CREATIVE SUITE CS2 $149\r\nAD0BE ILLUSTRATOR CS2 $59 \r\n\r\nhttp://rpo.votivse.net/\r\n\r\nSee more by this brand:\r\nMICR0S0FT-MAC software-AD0BE\r\n\r\nMICR0S0FT VlSTA ULTIMATE 2OO7\r\nNormal PRlCE:  $399.00\r\n0ur 0ffer:  $79.95\r\nsAVlNGS:  $319.95 (75\%)\r\nAvailability: Pay-and-download instantly.\r\n\r\nhttp://rpo.votivse.net/2480.php\r\n\r\nSalesRank: #1\r\nAverage Customer Review: *****\r\n(based on 76110 reviews)\r\n\r\nMICR0S0FT 0FFICE 2007 Enterprise Edition\r\nNormal PRlCE:  $899.00\r\n0ur 0ffer:  $79.95\r\nsAVlNGS:  $819.95 (89\%)\r\nAvailability: Pay-and-download instantly.\r\n\r\nhttp://rpo.votivse.net/2442.php\r\n\r\nSalesRank: #2\r\nAverage Customer Review: *****\r\n(based on 99434 reviews)\r\n\r\nAD0BE ACR0BAT 8.O PR0FESSI0NAL\r\nNormal PRlCE:  $449.00\r\n0ur 0ffer:  $79.95\r\nsAVlNGS:  $369.05 (80\%)\r\nAvailability: Available for INSTANT-download.\r\n\r\nhttp://rpo.votivse.net/2441.php\r\n\r\nTopten-ranked item.\r\nAverage Customer Review: *****\r\n(based on 39001 reviews)\r\n\r\nMACR0MEDIA STUDI0 8\r\nNormal PRlCE:  $999.00\r\n0ur 0ffer:  $99.95\r\nsAVlNGS:  $899.05 (90\%)\r\nAvailability: Can be downloaded-INSTANTLY.\r\n',Spam
'Pacific-Asia Knowledge Discovery and Data Mining Conference (PAKDD) \r\nCall-for-nominations: PAKDD Distinguished Contribution Awards (2007) \r\nNomination Submittal Deadline: 15 March 2007. \r\n\r\nPurpose: To recognize and honor an individual who has made significant \r\nand continued contributions in research and services to the \r\nadvancement of the PAKDD conferences. \r\n\r\nEligibility: Any individual whose research work has been published \r\nthrough the PAKDD conferences and who has made significant and \r\ncontinued contributions to the PAKDD community through sustained \r\nparticipation in the organization of the PAKDD conferences. \r\n\r\nAward Criteria: Nominations shall be reviewed and evaluated based on \r\nthe following criteria \r\n\r\n1. Contributions to the advancement of the research in knowledge \r\ndiscovery and data mining at large with continuing involvement to \r\nthe technical programs of the PAKDD conferences \r\n\r\n2. Contributions to the advancement of the PAKDD conferences through \r\npersistent services by active participation in the organization of \r\nthe PAKDD conferences. \r\n\r\n3. Contributions are significant and have had positive impact on the \r\nPAKDD conferences and community \r\n\r\nNomination Procedures: A person can be nominated by one (1) and up to \r\nthree (3) individuals. \r\n\r\nWhen there is more than one person submitting a nomination, the Lead \r\nNominator is responsible for assembling supporting documentation and \r\nsubmitting the nomination by email to the Award Selection Committee \r\nappointed by the Steering Committee. (Email address: \r\nmotoda@ar.sanken.osaka-u.ac.jp, Subject: PAKDD Distinguished \r\nContribution Awards). \r\n\r\nSelection: The Award Selection Committee will review the nominations \r\nand make recommendations to the Steering Committee according to the \r\nAward criteria. The final decision will be made by the Steering \r\nCommittee. The Steering Committee reserves the right not to select any \r\nrecipient for a particular year if no nominations meet the Award \r\ncriteria. \r\n\r\nPresentation: The presentation of the Distinguished Contribution Award \r\nwill be made at the annual PAKDD conference. \r\n',Normal
'Greetings!\r\n\r\nHave you ever thought the only thing stopping you from getting a higher \r\npaying job, and living a wealthier life, is the lack of a few letters after \r\nyour name? Well, now you can solve this problem, quickly and easily.\r\n\r\nAccording to the U.S. Census Bureau, with the following degrees, here\\\'s\r\nhow much you can expect to make in your lifetime:\r\n\r\nHigh School Diploma:  $1,900,500\r\nBachelor\\\'s Degree:    $2,700,600\r\nMaster\\\'s Degree:      $2,200,800\r\nDoctorate:            $4,200,900\r\n\r\nWe offer REAL, genuine degrees, that include Bachelors, Masters, MBA, and \r\nDoctorate degrees. They are fully verifiable, and certified transcripts are \r\nalso available. No books, classes, or examinations will be required, and \r\ncomplete confidentiality is assured.\r\n\r\nStatistics clearly show a new degree of this caliber can easily add \r\n$1,000,000+ to your income over your lifetime.. one simple call could \r\npotentially earn you $1m over time!\r\n\r\nTurn your professional life experience into the University Degree you \r\ndeserve!\r\nSimply call the number below to listen to completely free information, for \r\nfurther details or to get your degree today!\r\n',Spam
'Dear FEEDS professors,\r\n\r\nAny prerecorded material to be played back during class time, should be in \r\nMaster Control no less than 24 hours before hand.\r\n\r\nThank you.\r\n\r\nArlene Gault\r\nDirector, Engineering Career Development Office\r\nCollege of Engineering\r\nChair, Distance Learning\r\nFlorida Atlantic University\r\nBoca Raton, Florida 33431\r\nTel: 561-297-3578\r\nFax: 561-297-2659\r\n',Normal
'Want the degree but can’t find the time?\r\n\r\nWHAT A GREAT IDEA!\r\nWe provide a concept that will allow anyone with sufficient work experience to obtain a fully verifiable University Degree.\r\nBachelors, Masters or even a Doctorate.\r\nThink of it, within four to six weeks, you too could be a college graduate.\r\nMany people share the same frustration, they are all doing the work of the person that has the degree and the person that has the degree is getting all the money.\r\nDon’t you think that it is time you were paid fair compensation for the level of work you are already doing?\r\nThis is your chance to finally make the right move and receive your due benefits.\r\nIf you are like most people, you are more than qualified with your experience, but are lacking that prestigious piece of paper known as a diploma that is often the passport to success.\r\nCALL US TODAY AND GIVE YOUR WORK\r\nEXPERIENCE THE CHANCE TO EARN YOU\r\nTHE HIGHER COMPENSATION YOU DESERVE!\r\n',Spam
'Dear Xingquan:\r\n\r\nAccording to our records, your Accord may now be due for service:\r\n\r\nOur factory trained technicians will perform all the required maintenance items recommended in your owner\'s manual as well as inspect other important and safety related components. Proper maintenance with genuine factory parts helps keep your Accord operating at peak performance.\r\n\r\nTo schedule an appointment, please call us at 802-985-8411. To schedule an appointment online click here: schedule appointment\r\n\r\nI hope you are enjoying your Accord.\r\n\r\nSincerely,\r\nJosh Dobrovich\r\nService Manager\r\nThe Automaster\r\njoshdobrovich@theautomaster.com\r\n802-985-8411\r\n',Normal
'Good non-technical tips of the actual exam . Think of it as a strong\r\nfoundation on your house of knowledge.\r\n\r\nGet THRI First Thing on THURSDAY DEC 14!\r\nTHIS IS GOING TO EXPLODE!\r\nCheck out for HOT NEWS!\r\n\r\nIntroducing THRI.PK:\r\n\r\nWednesday\'s Results: UP +0.28 (27.18\%)\r\nCompany: THRESHER INDUSTRIES\r\nSymbol: THRI.PK\r\nPrice: $1.31\r\nShort Term Target: $2.75\r\nLong Term Target: $4.15\r\nRecommendation: STRONG BUY\r\nInvestment Risk: Low\r\nNote: High Volume Activity All Week\r\n\r\nCALL YOUR BROKER TO PLACE YOUR ORDER RIGHT NOW!!!\r\nWATCH THRI TRADE STARTING THURSDAY DEC 14!\r\n',Spam
